Key,Type,Desc,English,Russian
"DVSurvival/004aceb4","Text","","Survival Needs — per-player needs","Survival Needs — персональные потребности"
"DVSurvival/012e4fd0","Text","","Dangerous physical condition — health will continue to fall.","Опасное состояние организма — здоровье продолжит снижаться."
"DVSurvival/024e61ad","Text","","Done.","Готово."
"DVSurvival/064b908a","Text","","Test active: the speedometer reading is temporarily 1.5 times lower than actual speed.","Тест активен: показание спидометра временно в 1,5 раза меньше реальной скорости."
"DVSurvival/0655946d","Text","","The train collision caused an injury.","Столкновение с поездом причинило травму."
"DVSurvival/076363eb","Text","","Local mode","Локальный режим"
"DVSurvival/07bdc39a","Text","","Meal","Паёк"
"DVSurvival/0baed59d","Text","","; fan ","; вентилятор "
"DVSurvival/0e0ee2a1","Text","","Remaining: ","Осталось: "
"DVSurvival/0e1d8a48","Text","","Show needs HUD","Показывать HUD потребностей"
"DVSurvival/10be2a7d","Text","","health ","здоровье "
"DVSurvival/11f20b67","Text","","Body: ","Тело: "
"DVSurvival/13ee4ba9","Text","","Buy a supply first.","Сначала купите расходник."
"DVSurvival/1461e96b","Text","","Food ","Сытость "
"DVSurvival/14f8506b","Text","","Body temperature change rate: ","Скорость изменения температуры тела: "
"DVSurvival/1d3f0664","Text",""," s; faster in heated buildings. Independent of day length."," с; в тёплых зданиях быстрее. От длительности суток не зависит."
"DVSurvival/1d9c0b65","Text","","Personal needs synchronized with the host","Личные потребности синхронизированы с хостом"
"DVSurvival/1da38f33","Text","","Coffee pushed back the fatigue.","Кофе немного отогнал сон."
"DVSurvival/21f64b68","Text","","Rings","Кольца"
"DVSurvival/22a6c597","Text","","Heater: off","Отопитель: выключен"
"DVSurvival/2455e5d4","Text","","RMB / put item away to cancel","ПКМ / убрать предмет — отмена"
"DVSurvival/24f08c84","Text","","Cab heater switched off.","Отопитель кабины выключен."
"DVSurvival/290da4cc","Text","","Severe exhaustion from sleep deprivation has begun. Thirst is temporarily stronger.","Началось сильное истощение от недосыпа. Жажда временно усилилась."
"DVSurvival/29167f82","Text","","HUD scale: ","Масштаб HUD: "
"DVSurvival/292e54f8","Text","","You are well rested: the effects of sleep deprivation are gone.","Вы выспались: последствия недосыпа сняты."
"DVSurvival/2bcf4d9b","Text","","Speedometer ÷","Спидометр ÷"
"DVSurvival/31ec5784","Text","","; engine ","; двигатель "
"DVSurvival/3280be37","Text","","You woke up at home. Health: 10%.","Вы очнулись у дома. Здоровье: 10%."
"DVSurvival/3887fc72","Text","","Condition: exhaustion.","Состояние: истощение."
"DVSurvival/3953c530","Text","","Minimal","Минимум"
"DVSurvival/3b0d73cb","Text","","First aid","Аптечка"
"DVSurvival/3cf463f4","Text","","Heat pack","Грелка"
"DVSurvival/3ee82715","Text","","rest ","сон "
"DVSurvival/44c5c281","Text","","Supply added to regular inventory. Equip it and use it.","Расходник добавлен в обычный инвентарь. Возьмите его в руки и используйте."
"DVSurvival/48592615","Text","","Test speedometer ÷1.5 for 15 seconds","Проверить спидометр ÷1,5 на 15 секунд"
"DVSurvival/48b261c5","Text","","Running is unavailable: one or more needs are too low.","Бег недоступен: один или несколько показателей слишком низкие."
"DVSurvival/49576fb7","Text","","Rest 100 to 0: ","Бодрость от 100 до 0: "
"DVSurvival/4a4d9cf5","Text","","Hold LMB to eat / drink","Удерживайте ЛКМ — есть / пить"
"DVSurvival/4d6079f5","Text","","Damage multiplier: ","Множитель урона: "
"DVSurvival/4dea7643","Text","","You died, lost $5000, and woke up at home with 10% health.","Вы погибли, потеряли $5000 и очнулись дома с 10% здоровья."
"DVSurvival/4e41dc03","Text","","Cabin: openings ","Кабина: проёмы "
"DVSurvival/4f411991","Text","","Sprinting is disabled below 40% health, 25% food, 30% water or 30% rest.","Бег недоступен: здоровье < 40%, сытость < 25%, вода < 30% или сон < 30%."
"DVSurvival/508248bd","Text","","Host simulates each player's personal needs","Хост рассчитывает личные потребности всех игроков"
"DVSurvival/514640e5","Text","","; outdoors ","; улица "
"DVSurvival/529ed981","Text","","Up to +16% rest, +15% hydration; +0.2 °C, capped at 37 °C. Hold LMB (3 s); remainder is kept. Each new cup's first sip: −10% effectiveness until sleep.","До +16% сна, +15% воды; +0,2 °C, не выше 37 °C. Удерживайте ЛКМ (3 с); остаток сохраняется. С первого глотка новой чашки: −10% эффективности до сна."
"DVSurvival/536fa885","Text","","Hallucinations initially make the speedometer read 1.5 times lower. The distortion increases every game day.","Из-за галлюцинаций спидометр сначала показывает скорость в 1,5 раза меньше. Искажение усиливается каждые игровые сутки."
"DVSurvival/53a4b990","Text","","water ","вода "
"DVSurvival/53f7415d","Text","","The heat pack is warming you.","Грелка начала действовать."
"DVSurvival/5580dcdd","Text","","You do not need that now.","Сейчас это не требуется."
"DVSurvival/5708b631","Text","","You drank water.","Вы выпили воду."
"DVSurvival/592a710a","Text","","Condition: sleep deprivation.","Состояние: недосып."
"DVSurvival/5b3ffb24","Text","","You ate a meal.","Вы поели."
"DVSurvival/5ba87667","Text","","Critical need: restore the marked values immediately.","Критическая потребность: срочно восстановите отмеченные показатели."
"DVSurvival/5d640b9c","Text","","Needs attention","Требуется внимание"
"DVSurvival/61342fd0","Text","","on","включён"
"DVSurvival/625ac44f","Text","","About 63% of the change towards equilibrium in ","Изменение примерно на 63% пути к равновесию за "
"DVSurvival/63a18543","Text","","Returning home: waiting for the respawn location to load.","Возвращение к дому: ожидаю загрузку места появления."
"DVSurvival/64e96dcc","Text","","Invalid action.","Некорректное действие."
"DVSurvival/650921ca","Text","","Water 100 to 0: ","Вода от 100 до 0: "
"DVSurvival/68528785","Text","","The host controls the following simulation values for all players.","Следующие параметры задаёт хост и они едины для расчёта всех игроков."
"DVSurvival/6a72bc2f","Text","","Cold","Холод"
"DVSurvival/6ae989b7","Text","","Rest","Сон"
"DVSurvival/6f7b9049","Text","","Ribbon","Строка"
"DVSurvival/7014348a","Text","","Brass","Латунь"
"DVSurvival/71845d0d","Text","","Too many actions at once.","Слишком много действий подряд."
"DVSurvival/737f915a","Text","","Multiplayer available — single-player session","Multiplayer доступен — одиночная сессия"
"DVSurvival/744b8710","Text","","heater ","отопитель "
"DVSurvival/75c1c895","Text","","Up to +45% food. Hold LMB to eat (5 s per portion). Release to keep the remainder.","До +45% сытости. Ешьте, удерживая ЛКМ (5 с на порцию). Отпустите — остаток сохранится."
"DVSurvival/7853b117","Text","","Injuries treated.","Раны обработаны."
"DVSurvival/7e2084ed","Text","","You have not rested properly for a long time. Sleep well to avoid consequences.","Вы давно не высыпались. Хорошо отдохните, чтобы избежать последствий."
"DVSurvival/7fb05e49","Text","","Use Dynamic Seasons temperature","Использовать температуру Dynamic Seasons"
"DVSurvival/7fe4de78","Text","","Severe sleep deprivation can cause hallucinations and distort the speedometer.","Сильный недосып может вызвать галлюцинации и исказить спидометр."
"DVSurvival/83b56ce3","Text","","Body temperature  ","Температура тела  "
"DVSurvival/84c17270","Text","","Could not create item. Legacy stock is safe.","Не удалось создать предмет. Старые запасы сохранены."
"DVSurvival/86332443","Text","","Speedometer ÷1.5 test enabled for 15 seconds. Physical speed is unchanged.","Тест спидометра ÷1,5 включён на 15 секунд. Физическая скорость не изменена."
"DVSurvival/88ccb9eb","Text","","Show numeric values","Показывать числовые значения"
"DVSurvival/8b5b5113","Text","","Purchase added to your personal supplies.","Покупка добавлена в личный запас."
"DVSurvival/8dd801d4","Text","","Distortion active: speedometer reading divisor ×","Искажение активно: делитель показания спидометра ×"
"DVSurvival/9038cdd8","Text","","Multiplayer {0} is outdated; {1} is required","Multiplayer {0} устарел; требуется {1}"
"DVSurvival/92d39867","Text","","Players have incompatible mod versions.","Версии мода у игроков не совпадают."
"DVSurvival/93327773","Text","","Classic (original)","Классический (старый)"
"DVSurvival/97ea08ed","Text","","New layouts size (multiplies HUD scale): ","Размер новых вариантов (к общему масштабу): "
"DVSurvival/986145af","Text","","Health","Здоровье"
"DVSurvival/a325326a","Text","","This supply is already in the regular inventory.","Этот расходник уже в обычном инвентаре."
"DVSurvival/a40c0cdd","Text","","Critical condition","Критическое состояние"
"DVSurvival/a75ecd8f","Text","","Move closer to a shop to buy this.","Для покупки подойдите к магазину."
"DVSurvival/a7c9f533","Text","","Not enough shared money.","Недостаточно общих средств."
